Author	n (strains)	publication title	journal	publication URL	strains
Paola Stefanelli et al A	2	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Italy/LAZ-INMI-SPL1/2020,Italy/LOM-ASST-CDG1/2020
Cesare E.M. Gruber et al A	1	The first two cases of 2019-nCoV in Italy: Where they come from?	unknown	https://dx.doi.org/10.1002/jmv.25699	Italy/LAZ-INMI2-N/2020
Katarzyna Pancer et al	8	unknown	unknown	unknown	Poland/PL_P39/2020,Poland/PL_P42/2020,Poland/PL_P32/2020,Poland/PL_P33/2020,Poland/PL_P31/2020,Poland/PL_P40/2020,Poland/PL_P28/2020,Poland/PL_P29/2020
Ann Machablishvili et al	1	unknown	unknown	unknown	Georgia/Tb-537/2020
Tomaž Mark Zorec et al	27	unknown	unknown	unknown	Slovenia/V0-6934/2020,Slovenia/13487/2020,Slovenia/V0-15921/2020,Slovenia/V0-409/2020,Slovenia/V0-2541/2020,Slovenia/V0-2870/2020,Slovenia/12230/2020,Slovenia/10906/2020,Slovenia/12692/2020,Slovenia/V0-408/2020,Slovenia/V0-2804/2020,Slovenia/V0-6779/2020,Slovenia/V0-24263/2020,Slovenia/V0-4311/2020,Slovenia/V0-10433/2020,Slovenia/V0-17818/2020,Slovenia/V0-4778/2020,Slovenia/V0-1421/2020,Slovenia/V0-5244/2020,Slovenia/10734/2020,Slovenia/11976/2020,Slovenia/V0-16308/2020,Slovenia/V0-6068/2020,Slovenia/V0-2949/2020,Slovenia/V0-8053/2020,Slovenia/V0-3902/2020,Slovenia/V0-17285/2020
Borges et al et al	165	unknown	unknown	unknown	Portugal/PT0846/2020,Portugal/PT0533/2020,Portugal/PT0534/2020,Portugal/PT0278/2020,Portugal/PT0281/2020,Portugal/PT0282/2020,Portugal/PT0279/2020,Portugal/PT0535/2020,Portugal/PT0280/2020,Portugal/PT0416/2020,Portugal/PT0410/2020,Portugal/PT0403/2020,Portugal/PT1164/2020,Portugal/PT0809/2020,Portugal/PT0408/2020,Portugal/PT0960/2020,Portugal/PT0133/2020,Portugal/PT0439/2020,Portugal/PT0438/2020,Portugal/PT0440/2020,Portugal/PT0134/2020,Portugal/PT0451/2020,Portugal/PT1103/2020,Portugal/PT0958/2020,Portugal/PT0769a/2020,Portugal/PT0774/2020,Portugal/PT0531/2020,Portugal/PT0573/2020,Portugal/PT1963/2020,Portugal/PT1970/2020,Portugal/PT2104/2020,Portugal/PT2106/2020,Portugal/PT2108/2020,Portugal/PT2110/2020,Portugal/PT2177/2020,Portugal/PT2436/2021,Portugal/PT2247/2020,Portugal/PT2124/2020,Portugal/PT3203/2021,Portugal/PT2099/2020,Portugal/PT3466/2021,Portugal/PT3408/2021,Portugal/PT3174/2021,Portugal/PT2275/2020,Portugal/PT2101/2020,Portugal/PT2095/2020,Portugal/PT2096/2020,Portugal/PT2757/2021,Portugal/PT2114/2020,Portugal/PT2158/2021,Portugal/PT3412/2021,Portugal/PT3178/2021,Portugal/PT2159/2021,Portugal/PT2252/2021,Portugal/PT3636/2021,Portugal/PT3655/2021,Portugal/PT2146/2020,Portugal/PT3736/2021,Portugal/PT3166/2021,Portugal/PT3218/2021,Portugal/PT3712/2021,Portugal/PT3721/2021,Portugal/PT2674/2021,Portugal/PT3565/2021,Portugal/PT2162/2020,Portugal/PT2155/2020,Portugal/PT2847/2021,Portugal/PT2249/2021,Portugal/PT2888/2021,Portugal/PT2456/2021,Portugal/PT3887/2021,Portugal/PT3150/2021,Portugal/PT3138/2021,Portugal/PT2241/2021,Portugal/PT2149/2020,Portugal/PT2624/2021,Portugal/PT2635/2021,Portugal/PT2150/2020,Portugal/PT1856/2020,Portugal/PT2086/2020,Portugal/PT2087/2020,Portugal/PT3787/2021,Portugal/PT2670/2021,Portugal/PT1589/2020,Portugal/PT0946/2020,Portugal/PT0694/2020,Portugal/PT1605/2020,Portugal/PT0139/2020,Portugal/PT2163/2020,Portugal/PT1136/2020,Portugal/PT0771/2020,Portugal/PT1622/2020,Portugal/PT1547/2020,Portugal/PT1583/2020,Portugal/PT1593/2020,Portugal/PT1535/2020,Portugal/PT1621/2020,Portugal/PT1619/2020,Portugal/PT1613/2020,Portugal/PT1797/2020,Portugal/PT1818/2020,Portugal/PT2921/2020,Portugal/PT1628/2020,Portugal/PT1980/2020,Portugal/PT2396/2021,Portugal/PT1973/2020,Portugal/PT1988/2020,Portugal/PT1740/2020,Portugal/PT1794/2020,Portugal/PT1747/2020,Portugal/PT1820/2020,Portugal/PT1601/2020,Portugal/PT1627/2020,Portugal/PT0252/2020,Portugal/PT2441/2021,Portugal/PT3255/2021,Portugal/PT0491/2020,Portugal/PT0492/2020,Portugal/PT1556/2020,Portugal/PT0497/2020,Portugal/PT1536/2020,Portugal/PT1534/2020,Portugal/PT1537/2020,Portugal/PT1587/2020,Portugal/PT1596/2020,Portugal/PT1603/2020,Portugal/PT1598/2020,Portugal/PT1625/2020,Portugal/PT1607/2020,Portugal/PT1602/2020,Portugal/PT1822/2020,Portugal/PT1831/2020,Portugal/PT3611/2021,Portugal/PT4022/2021,Portugal/PT2225/2020,Portugal/PT2664/2021,Portugal/PT2867/2021,Portugal/PT0490/2020,Portugal/PT1555/2020,Portugal/PT1608/2020,Portugal/PT1554/2020,Portugal/PT1691/2020,Portugal/PT1580/2020,Portugal/PT1736/2020,Portugal/PT1713/2020,Portugal/PT1715/2020,Portugal/PT1712/2020,Portugal/PT1714/2020,Portugal/PT1739/2020,Portugal/PT1726/2020,Portugal/PT1724/2020,Portugal/PT1727/2020,Portugal/PT1728/2020,Portugal/PT1725/2020,Portugal/PT1703/2020,Portugal/PT1701/2020,Portugal/PT1704/2020,Portugal/PT1709/2020,Portugal/PT1710/2020,Portugal/PT1706/2020,Portugal/PT1702/2020,Portugal/PT1705/2020,Portugal/PT1707/2020,Portugal/PT1708/2020,Portugal/PT1850/2020
Elisa Franchin et al	47	unknown	unknown	unknown	Italy/VEN-SI_24/2020,Italy/VEN-SI_19/2020,Italy/VEN-SI_57/2020,Italy/VEN-SI_27/2020,Italy/VEN-SI_30/2020,Italy/VEN-SI_29/2020,Italy/VEN-SI_31/2020,Italy/VEN-SI_42/2020,Italy/VEN-SI_64/2020,Italy/VEN-SI_69/2020,Italy/VEN-SI_62/2020,Italy/VEN-SI_65/2020,Italy/VEN-SI_70/2020,Italy/VEN-SI_41/2020,Italy/VEN-SI_47/2020,Italy/VEN-D1_8_B-1-177-7/2020,Italy/VEN-SI_59/2020,Italy/VEN-SI_7/2020,Italy/VEN-SI_33/2020,Italy/VEN-SI_54/2020,Italy/VEN-SI_26/2020,Italy/VEN-SI_84/2020,Italy/VEN-SI_49/2020,Italy/VEN-SI_72/2020,Italy/VEN-SI_76/2020,Italy/VEN-SI_22/2020,Italy/VEN-C1_4_B_1/2020,Italy/VEN-SI_20/2020,Italy/VEN-SI_77/2020,Italy/VEN-SI_66/2020,Italy/VEN-SI_44/2020,Italy/VEN-SI_43/2020,Italy/VEN-SI_78/2020,Italy/VEN-SI_1/2020,Italy/VEN-SI_98/2020,Italy/VEN-SI_55/2020,Italy/VEN-SI_48/2020,Italy/VEN-SI_79/2020,Italy/VEN-SI_46/2020,Italy/VEN-SI_60/2020,Italy/VEN-SI_68/2020,Italy/VEN-SI_129/2020,Italy/VEN-SI_45/2020,Italy/VEN-C1_2_B_1_1_1/2020,Italy/VEN-SI_97/2020,Italy/VEN-SI_99/2020,Italy/VEN-SI_83/2020
Alejandro Abner Garcia Leon et al	1	unknown	unknown	unknown	Ireland/D-NVRL-AIIDV1469v1/2020
Maria R. Capobianchi et al B	1	The first two cases of 2019-nCoV in Italy: Where they come from?	unknown	https://dx.doi.org/10.1002/jmv.25699	Italy/LAZ-INMI1-cs/2020
Iglesias-Caballero et al B	2	Phylodynamics of SARS-CoV-2 transmission in Spain	unknown	https://dx.doi.org/10.1101/2020.04.20.050039	Spain/AN-ISCIII-201272/2020,Spain/CL-ISCIII-201061/2020
Nguyễn Thanh Long et al	1	unknown	unknown	unknown	Vietnam/PIHCM-503/2020
Lukasz Rabalski et al	41	unknown	unknown	unknown	Poland/Pom1/2020,Poland/Pomorskie_MWB_1/2020,Poland/Pomorskie_MWB_60/2020,Poland/Pom12/2020,Poland/Pomorskie_MWB_90/2021,Poland/Pomorskie_MWB_47/2021,Poland/Mazowieckie_MWB_187/2021,Poland/Pomorskie_MWB_145/2021,Poland/Pomorskie_MWB_127/2021,Poland/Pomorskie_MWB_134/2021,Poland/Pomorskie_MWB_137/2021,Poland/Pom10/2020,Poland/Pomorskie_MWB_372/2021,Poland/Pomorskie_MWB_33/2021,Poland/Pomorskie_MWB_318/2021,Poland/Pomorskie_MWB_92/2021,Poland/Pomorskie_MWB_78/2021,mink/Poland/Pomorskie_4/2020,mink/Poland/Pomorskie_5/2020,mink/Poland/Pomorskie_42/2020,mink/Poland/Pomorskie_46/2020,mink/Poland/Pomorskie_50/2020,mink/Poland/Pomorskie_49/2020,mink/Poland/Pomorskie_83/2020,mink/Poland/Pomorskie_77/2020,mink/Poland/Pomorskie_88/2020,mink/Poland/Pomorskie_67/2020,mink/Poland/Pomorskie_76/2020,mink/Poland/Pomorskie_48/2020,Poland/Pom4/2020,Poland/Mazowieckie_MWB_205/2021,Poland/Sla3/2020,Poland/Sla2/2020,Poland/Sla5/2020,Poland/Sla8/2020,Poland/Sla4/2020,Poland/Sla6/2020,Poland/Sla10/2020,Poland/Sla1/2020,Poland/Sla9/2020,Poland/Sla7/2020
Hege Vangstein Aamot et al	23	unknown	unknown	unknown	Norway/CS-24/2020,Norway/CS-21/2020,Norway/CS-10/2020,Norway/CS-13/2020,Norway/CS-14/2020,Norway/CS-33/2020,Norway/CS-23/2020,Norway/CS-09/2020,Norway/CS-04/2020,Norway/CS-27/2020,Norway/CS-07/2020,Norway/CS-28/2020,Norway/CS-29/2020,Norway/CS-16/2020,Norway/CS-15/2020,Norway/CS-03/2020,Norway/CS-26/2020,Norway/Ahus-0005/2021,Norway/Ahus-0072/2021,Norway/Ahus-0054/2021,Norway/Ahus-0066/2021,Norway/Ahus-0061/2021,Norway/CS-02/2020
Matoke-Muhia et al	1	unknown	unknown	unknown	Kenya/D6/2020
Gravis et al	1	unknown	unknown	unknown	Argentina/PAIS-B0003/2020
Paola Resende et al B	4	Genomic surveillance of SARS-CoV-2 reveals community transmission of a major lineage during the early pandemic phase in Brazil	unknown	https://dx.doi.org/10.1101/2020.06.17.158006	Brazil/ES-FIOCRUZ-225/2020,Brazil/RJ-FIOCRUZ-1595/2020,Brazil/RJ-FIOCRUZ-1555/2020,Brazil/RJ-FIOCRUZ-314/2020
Kuenyoul Park et al	4	unknown	unknown	unknown	SouthKorea/A6/2020,SouthKorea/S5/2020,SouthKorea/A5/2020,SouthKorea/S4/2020
Kassela K. et al	15	Dominant and rare SARS-Cov2 variants responsible for the COVID-19 pandemic in Athens, Greece.	unknown	https://dx.doi.org/10.1101/2020.06.03.20121236	Greece/53/2020,Greece/52_37266/2020,Greece/144/2020,Greece/139/2020,Greece/138/2020,Greece/151/2020,Greece/142/2020,Greece/46/2020,Greece/44/2020,Greece/155/2020,Greece/148/2020,Greece/135/2020,Greece/156/2020,Greece/143/2020,Greece/37/2020
Kowalski et al	35	unknown	unknown	unknown	Poland/PL_MCB_13/2020,Poland/PL_MCB_7/2020,Poland/PL_MCB_43/2020,Poland/PL_MCB_5/2020,Poland/PL_MCB_38/2020,Poland/PL_MCB_37/2020,Poland/PL_MCB_78/2020,Poland/PL_MCB_8/2020,Poland/PL_MCB_10/2020,Poland/PL_MCB_9/2020,Poland/PL_MCB_98/2020,Poland/PL_MCB_89/2020,Poland/PL_MCB_65/2020,Poland/PL_MCB_61/2020,Poland/PL_MCB_19/2020,Poland/PL_MCB_21/2020,Poland/PL_MCB_106/2020,Poland/PL_MCB_45/2020,Poland/PL_MCB_20/2020,Poland/PL_MCB_55/2020,Poland/PL_MCB_54/2020,Poland/PL_MCB_64/2020,Poland/PL_MCB_59/2020,Poland/PL_MCB_66/2020,Poland/PL_MCB_108/2020,Poland/PL_MCB_107/2020,Poland/PL_MCB_56/2020,Poland/PL_MCB_60/2020,Poland/PL_MCB_82/2020,Poland/PL_MCB_80/2020,Poland/PL_MCB_83/2020,Poland/PL_MCB_79/2020,Poland/PL_MCB_110/2020,Poland/PL_MCB_81/2020,Poland/PL_MCB_92/2020
Stefan Schmutz et al A	4	unknown	unknown	unknown	Switzerland/ZH-UZH-1000477102/2020,Switzerland/ZH-UZH-IMV-3ba25b9f/2020,Switzerland/ZH-UZH-IMV-3ba255eb/2020,Switzerland/ZH-UZH-1000478320/2020
Min Ji Kim et al	2	unknown	unknown	unknown	SouthKorea/IHC1215/2020,SouthKorea/IHC1217/2020
Nouar Qutob et al	39	unknown	unknown	unknown	Palestine/22/2020,Palestine/32/2020,Palestine/13/2020,Palestine/15/2020,Palestine/16/2020,Palestine/19/2020,Palestine/14/2020,Palestine/28/2020,Palestine/44/2020,Palestine/77/2020,Palestine/78/2020,Palestine/64/2020,Palestine/76/2020,Palestine/89/2020,Palestine/66/2020,Palestine/73/2020,Palestine/69/2020,Palestine/80/2020,Palestine/95/2020,Palestine/68/2020,Palestine/11/2020,Palestine/42/2020,Palestine/36/2020,Palestine/52/2020,Palestine/7/2020,Palestine/1/2020,Palestine/2/2020,Palestine/40/2020,Palestine/55/2020,Palestine/54/2020,Palestine/46/2020,Palestine/51/2020,Palestine/82/2020,Palestine/90/2020,Palestine/86/2020,Palestine/3/2020,Palestine/43/2020,Palestine/45/2020,Palestine/21/2020
Huey-Pin Tsai et al	2	unknown	unknown	unknown	Taiwan/NCKUH-014/2020,Taiwan/NCKUH-002/2020
Stern Lab et al	6	Full genome viral sequences inform patterns of SARS-CoV-2 spread into and within Israel	unknown	https://dx.doi.org/10.1101/2020.05.21.20104521	Israel/990300724/2020,Israel/13077840/2020,Israel/2115990/2020,Israel/990059252/2020,Israel/701002403/2020,Israel/130710644/2020
Maciej Grzybek et al	8	unknown	unknown	unknown	Poland/1111112/2020,Poland/1109500/2020,Poland/1111628/2020,Poland/1156085/2020,Poland/1157821/2020,Poland/1154942/2020,Poland/1154951/2020,Poland/1157220/2020
Carolina M Voloch et al	8	unknown	unknown	unknown	Brazil/RJ-00336/2020,Brazil/RJ-00333/2020,Brazil/RJ-00334/2020,Brazil/RJ-00474/2020,Brazil/RJ-00475/2020,Brazil/RJ-00459/2020,Brazil/RJ-00504/2020,Brazil/RJ-00412/2020
Calum Walsh et al	5	unknown	unknown	unknown	Ireland/D-NVRL-MPS20970/2020,Ireland/LK-NVRL-MPL24200/2020,Ireland/D-NVRL-MPW25565/2020,Ireland/WW-NVRL-MPJ92577/2020,Ireland/WW-NVRL-MPN63349/2020
Alexandra Gerber et al	1	Evolution and epidemic spread of SARS-CoV-2 in Brazil	unknown	https://dx.doi.org/10.1126/science.abd2161	Brazil/RJ-0254/2020
Pavitra Roychoudhury et al A	2	Cryptic transmission of SARS-CoV-2 in Washington State	unknown	https://doi.dx.org/10.1101/2020.04.02.20051417	USA/WA-UW197/2020,USA/WA-UW138/2020
Jaqueline Goes de Jesus et al	2	First cases of coronavirus disease (COVID-19) in Brazil, South America	unknown	https://virological.org/t/first-cases-of-coronavirus-disease-covid-19-in-brazil-south-america-2-genomes-3rd-march-2020/409	Brazil/SP-02/2020,Brazil/SP-01/2020
Malta et al	1	unknown	unknown	unknown	Brazil/un-SP02cc/2020
Luke W Meredith et al A	5	Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages	unknown	https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507	England/CAMB-8473C/2020,England/CAMB-7A48D/2020,England/CAMB-721D9/2020,England/CAMB-1AD963/2020,England/CAMB-1AD1C5/2020
Matt Storey et al B	10	unknown	unknown	unknown	NewZealand/20VR1798/2020,NewZealand/20VR1799/2020,NewZealand/20VR2475/2020,NewZealand/20VR0712/2020,NewZealand/20VR2063/2020,NewZealand/20VR2541/2020,NewZealand/20VR2485/2020,NewZealand/20VR3045/2020,NewZealand/20VR2659/2020,NewZealand/20VR2046/2020
Marie O. Pohl et al	2	unknown	unknown	unknown	Switzerland/ZH-UZH-IMV3/2020,Switzerland/AG-UZH-IMV12/2020
Alexis Robitaille et al	23	unknown	unknown	unknown	Germany/HH-hpi-p1443/2020,Germany/HH-hpi-p2335/2020,Germany/HH-hpi-p1824/2020,Germany/HH-hpi-p1790/2020,Germany/HH-hpi-p1811/2020,Germany/HH-HPI-p2897/2020,Germany/HH-HPI-p2984/2020,Germany/HH-hpi-p2317/2020,Germany/HH-hpi-p1957/2020,Germany/HH-hpi-p2451/2020,Germany/HH-hpi-p2452/2020,Germany/HH-hpi-p2458/2020,Germany/HH-hpi-p2457/2020,Germany/HH-hpi-p2454/2020,Germany/HH-hpi-p2465/2020,Germany/HH-hpi-p2455/2020,Germany/HH-hpi-p2379/2020,Germany/HH-hpi-p2380/2020,Germany/HH-hpi-p2466/2020,Germany/HH-hpi-p2464/2020,Germany/HH-HPI-p2867/2020,Germany/HH-HPI-p2838/2020,Germany/HH-HPI-p2851/2020
Karl Kashofer et al B	2	Mutational dynamics and transmission properties of SARS-CoV-2 superspreading events in Austria	unknown	https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1	Austria/Graz-MUG17/2020,Austria/Graz-MUG15/2020
Butler et al	1	unknown	unknown	unknown	USA/NY-WCM-0615-1-P/2020
Gustavo Cilla et al	19	unknown	unknown	unknown	Spain/PV-IBV-003200/2020,Spain/PV-IBV-005156/2020,Spain/PV-IBV-98006702/2020,Spain/PV-IBV-98007662/2020,Spain/PV-IBV-98007637/2020,Spain/PV-IBV-005173/2020,Spain/PV-IBV-005175/2020,Spain/PV-IBV-2139/2020,Spain/PV-IBV-2166/2020,Spain/PV-IBV-2152/2020,Spain/PV-IBV-2151/2020,Spain/PV-IBV-2137/2020,Spain/PV-IBV-004184/2020,Spain/PV-IBV-004227/2020,Spain/PV-IBV-004225/2020,Spain/PV-IBV-2122/2020,Spain/PV-IBV-2170/2020,Spain/PV-IBV-2089/2020,Spain/PV-IBV-98006701/2020
LAUBSCHER F. et al	7	unknown	unknown	unknown	Switzerland/GE-SNRCI-7895/2020,Switzerland/GE-SNRCI-7405/2020,Switzerland/GE-SNRCI-7808/2020,Switzerland/GE-SNRCI-7014/2020,Switzerland/GE-SNRCI-8323/2020,Switzerland/GE-SNRCI-8226/2020,Switzerland/GE-SNRCI-2616/2020
Jonas Fuchs et al	5	unknown	unknown	unknown	Germany/BW-FR0172/2020,Germany/BW-FR0059/2020,Germany/BW-FR0687/2020,Germany/BW-FR0690/2020,Germany/BW-FR0683/2020
Eduardo Juscamayta Lopez et al	16	unknown	unknown	unknown	Peru/LIM-INS-150/2020,Peru/LIM-INS-167/2020,Peru/LIM-INS-114/2020,Peru/LIM-INS-101/2020,Peru/LIM-INS-091/2020,Peru/LIM-INS-113/2020,Peru/LIM-INS-090/2020,Peru/LIM-INS-123/2020,Peru/LIM-INS-100/2020,Peru/LIM-INS-115/2020,Peru/CAL-INS-082/2020,Peru/ANC-INS-092/2020,Peru/LIM-INS-077/2020,Peru/LIM-INS-099/2020,Peru/LIM-INS-093/2020,Peru/LIM-INS-086/2020
Nabaes Jodar et al A	11	unknown	unknown	unknown	Argentina/PAIS-A0222/2020,Argentina/PAIS-A0008/2020,Argentina/PAIS-A0060/2020,Argentina/PAIS-A0104/2020,Argentina/PAIS-A0139/2020,Argentina/PAIS-A0147/2020,Argentina/PAIS-A0194/2020,Argentina/PAIS-A0174/2020,Argentina/PAIS-A0182/2020,Argentina/PAIS-A0258/2020,Argentina/PAIS-A0290/2020
Paul Cotter et al	17	unknown	unknown	unknown	Ireland/D-NVRL-20G44042/2020,Ireland/LS-NVRL-20G44005/2020,Ireland/LK-UHL28/2020,Ireland/LK-UHL146/2020,Ireland/LK-UHL45/2020,Ireland/LK-UHL290/2020,Ireland/LK-UHL12/2020,Ireland/LK-UHL140/2020,Ireland/LK-UHL144/2020,Ireland/LK-UHL30/2020,Ireland/LK-UHL31/2020,Ireland/LK-UHL294/2020,Ireland/LK-UHL6/2020,Ireland/LK-UHL143/2020,Ireland/CE-UHL137/2020,Ireland/LK-UHL123/2020,Ireland/TA-UHL34/2020
Sam Haldenby et al	10	unknown	unknown	unknown	England/LIVE-A5629/2020,England/LIVE-A84D1/2020,England/LIVE-A695C/2020,England/LIVE-A4D70/2020,England/LIVE-A61DC/2020,England/LIVE-AA3F0/2020,England/LIVE-A91BB/2020,England/LIVE-A66FB/2020,England/LIVE-A2FE5/2020,England/LIVE-A03CD/2020
Mª Isabel Gascón Ros et al	2	unknown	unknown	unknown	Spain/VC-IBV-98005532/2020,Spain/VC-IBV-98005536/2020
Elias Dahdouh et al A	1	Phylodynamics of SARS-CoV-2 transmission in Spain	unknown	https://dx.doi.org/10.1101/2020.04.20.050039	Spain/MD-HLP-LP14-3/2020
Katarina Prosenc (Laboratory for Virology) et al	6	unknown	unknown	unknown	Slovenia/LabVir-3660/2020,Slovenia/LabVir-4555/2020,Slovenia/LabVir-4089/2020,Slovenia/LabVir-3716/2020,Slovenia/LabVir-4952/2020,Slovenia/LabVir-5837/2020
Prameet M. Sheth et al	1	unknown	unknown	unknown	Canada/ON-OICR-SLB2787/2020
Joan Marti-Carreras et al	6	A phylodynamic workflow to rapidly gain insights into the dispersal history and dynamics of SARS-CoV-2 lineages	unknown	https://dx.doi.org/10.1101/2020.05.05.078758	Belgium/BJ-0325181/2020,Belgium/VHV-0324118/2020,Belgium/VRJM-0323114/2020,Belgium/MS-0324134/2020,Belgium/ECC-030686/2020,Belgium/DLDJ-030569/2020
Nick Vereecke et al A	1	A phylodynamic workflow to rapidly gain insights into the dispersal history and dynamics of SARS-CoV-2 lineages	unknown	https://dx.doi.org/10.1101/2020.05.05.078758	Belgium/UGent-9/2020
Judith Heaney et al	6	unknown	unknown	unknown	England/LOND-124F659/2020,England/LOND-12532D6/2020,England/LOND-124FB0F/2020,England/LOND-132AD30/2020,England/LOND-124F756/2020,England/LOND-124D3BE/2020
Nick Vereecke et al B	7	unknown	unknown	unknown	Belgium/UGent-120/2020,Belgium/UGent-246/2020,Belgium/UGent-291/2020,Belgium/UGent-288/2020,Belgium/UGent-238/2020,Belgium/UGent-88/2020,Belgium/UGent-122/2020
Mary Lucey et al	2	unknown	unknown	unknown	Ireland/D-SVUH-R6027/2020,Ireland/D-SVUH-R6456/2020
Tanya Golubchik et al	32	unknown	unknown	unknown	England/OXON-AFB5D/2020,England/CAMC-B79FCE/2020,Scotland/QEUH-A77C06/2020,England/OXON-B4065/2020,England/CAMC-B7BC89/2020,England/OXON-F4131A/2020,England/OXON-F46D08/2020,England/OXON-F497AD/2021,England/OXON-F64AD0/2021,England/OXON-F56B1A/2021,England/OXON-F56B29/2021,England/OXON-F56B0B/2021,England/OXON-F484C5/2020,England/OXON-F68FEC/2021,England/OXON-F46BE0/2020,England/OXON-F53D9F/2021,England/OXON-F4B85D/2021,England/OXON-F4B732/2021,England/OXON-F4C801/2021,England/OXON-F50318/2021,England/OXON-F653B6/2021,England/OXON-F5EFBC/2021,England/MILK-B3B2ED/2020,England/MILK-B3BCA3/2020,England/QEUH-9AF486/2020,England/CAMC-B7B2D2/2020,England/OXON-B2647/2020,England/OXON-B21FB/2020,England/QEUH-9FA13A/2020,England/CAMC-9EC7B1/2020,England/OXON-B3A4A/2020,England/OXON-B42AB/2020
Dave J. Baker et al A	5	Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages	unknown	https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507	England/NORW-EAC35/2020,England/NORW-EA1BE/2020,England/NORW-EAC08/2020,England/NORW-E87EB/2020,England/NORW-EB2AB/2020
Jacquelyn Wynn et al	17	unknown	unknown	unknown	England/ALDP-9EE139/2020,England/ALDP-BB313B/2020,England/ALDP-C3BD09/2020,England/ALDP-136D8E5/2021,England/ALDP-136D9C4/2021,England/ALDP-136DBCE/2021,England/ALDP-136DB91/2021,England/ALDP-136DB46/2021,England/ALDP-136DB82/2021,England/ALDP-12A1048/2021,England/ALDP-128EB7D/2021,England/ALDP-125D60D/2021,England/ALDP-130B5C4/2021,England/ALDP-136DA1C/2021,England/ALDP-C695BF/2020,England/ALDP-B1B8A5/2020,England/ALDP-A2DFF7/2020
Sajjad Asaf et al	6	unknown	unknown	unknown	Oman/16904/2020,Oman/RESP-20-B-15349/2020,Oman/11467/2020,Oman/C-2673/2020,Oman/C-2826/2020,Oman/C-5401/2020
Samira Al-Mahruqi et al	2	unknown	unknown	unknown	Oman/RESP-20-B-6588/2020,Oman/8600/2020
Luiza Ustea et al	20	unknown	unknown	unknown	Romania/Focsani-268927/2020,Romania/Bucuresti408383/2020,Romania/Bucuresti_407958/2020,Romania/Bucuresti-294285/2020,Romania/Bucuresti-293034/2020,Romania/Iasi-296512/2020,Romania/Ialomita418189/2021,Romania/Buzau-292638/2020,Romania/Bucuresti-417868/2021,Romania/Valcea418423/2021,Romania/Bucuresti417415/2021,Romania/Bucuresti-419094/2021,Romania/Bucuresti417727/2021,Romania/Mures/2021,Romania/Covasna-419480/2021,Romania/Bucuresti410794/2021,Romania/Buzau-291946/2020,Romania/Buzau-293197/2020,Romania/Buzau-292711/2020,Romania/Valcea/2020
Erdem Şahin et al	31	unknown	unknown	unknown	Turkey/Ankara_GUMV_31394/2020,Turkey/Ankara_GUMV_22790/2020,Turkey/36_Ankara_GUMV_50722/2020,Turkey/Ankara_GUMV_42541/2020,Turkey/43-Ankara-GUMV-50892/2020,Turkey/Ankara_33508/2020,Turkey/Ankara_GUMV_22731/2020,Turkey/Ankara_GUMV_28458/2020,Turkey/44_Ankara_GUMV_50956/2020,Turkey/Ankara_GUMV_37230/2020,Turkey/17_Ankara_GUMV_50104/2020,Turkey/29-Ankara-GUMV-50579/2020,Turkey/14_Ankara_GUMV_49551/2020,Turkey/19_Ankara_GUMV_50216/2020,Turkey/Ankara_GUMV_25210/2020,Turkey/21-Ankara-GUMV-50254/2020,Turkey/Ankara_GUMV_18121/2020,Turkey/13-Ankara-GUMV-48663/2020,Turkey/34-Ankara-GUMV-50662/2020,Turkey/Ankara_GUMV_41954/2020,Turkey/40_Ankara_GUMV_50850/2020,Turkey/25_Ankara_GUMV_50542/2020,Turkey/38-Ankara-GUMV-50786/2020,Turkey/27_Ankara_GUMV_50551/2020,Turkey/42-Ankara-GUMV-50873/2020,Turkey/16_Ankara_GUMV_49881/2020,Turkey/26_Ankara_GUMV_50546/2020,Turkey/30_Ankara_GUMV_50581/2020,Turkey/GUMV_36208/2020,Turkey/24_Ankara_GUMV_50471/2020,Turkey/22_Ankara_GUMV_50454/2020
Boehmer et al	6	unknown	unknown	unknown	Germany/BY-ChVir-1019/2020,Germany/BY-ChVir-1483/2020,Germany/BY-ChVir-1289/2020,Germany/BY-ChVir-1020/2020,Germany/BY-ChVir-1017/2020,Germany/BY-ChVir-929-2/2020
Victor M Corman et al B	2	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Germany/BY-ChVir-929/2020,Germany/BW-ChVir-1577/2020
